workerid,proliferate.condition,accuracy,coding,failed_audio,failed_images,failed_video,internal_node_id,question_order,response,result,rt,slider_start,stimulus,success,time_elapsed,timeout,trial_index,trial_type,error
507,main,,246,,,,0.0-6.0-0.2,,1836,,5285,5000,audio/246_B2_CN7.wav,,54757,,10,audio-slider-response,
507,main,,,,,,0.0-6.0-1.2,,,,,,,,55763,,11,html-keyboard-response,
507,main,,340,,,,0.0-6.0-0.3,,6777,,5333,5000,audio/340_B1_CN7.wav,,61096,,12,audio-slider-response,
507,main,,,,,,0.0-6.0-1.3,,,,,,,,62102,,13,html-keyboard-response,
507,main,,193,,,,0.0-6.0-0.4,,6807,,4469,5000,audio/193_B1_CN7.wav,,66574,,14,audio-slider-response,
507,main,,,,,,0.0-6.0-1.4,,,,,,,,67580,,15,html-keyboard-response,
507,main,,,,,,0.0-7.0,,0,,6224,,"<p><font size='3'>You have completed the listening trials. You will now complete a short questionnaire. During the questionnaire, you will see a series of statements alongside a scale. Click along the scale to indicate how much you agree or disagree with the statement. Upon completion of the questionnaire, you will be asked to fill out an optional demographic survey. <br><br>When you're ready to begin the questionnaire, click ‘Continue’.</font></p>",,73805,,16,html-button-response,
507,main,,POSITIVE,,,,0.0-8.0-0.0,,0,,5296,5000,"For many important jobs, it is better to choose men instead of women.<br><br>",,79103,,17,html-slider-response,
507,main,,NEGATIVE,,,,0.0-8.0-0.1,,10000,,8331,5000,The freedom that children are given should be determined by their age and maturity level and not by their sex.<br><br>,,87436,,18,html-slider-response,
507,main,,POSITIVE,,,,0.0-8.0-0.2,,0,,5227,5000,Only some types of work are appropriate for both men and women.<br><br>,,92664,,19,html-slider-response,
507,main,,NEGATIVE,,,,0.0-8.0-0.3,,10000,,3603,5000,People should be treated the same regardless of their sex.<br><br>,,96269,,20,html-slider-response,
507,main,,POSITIVE,,,,0.0-8.0-0.4,,0,,3848,5000,Mothers should work only if necessary.<br><br>,,100118,,21,html-slider-response,
507,main,,POSITIVE,,,,0.0-8.0-0.5,,5683,,8340,5000,Mothers should make most decisions about how children are brought up.<br><br>,,108459,,22,html-slider-response,
507,main,,POSITIVE,,,,0.0-8.0-0.6,,2307,,7172,5000,A father’s major responsibility is to provide financially for his children.<br><br>,,115633,,23,html-slider-response,
507,main,,POSITIVE,,,,0.0-8.0-0.7,,0,,2861,5000,Some types of work are just not appropriate for women.<br><br>,,118496,,24,html-slider-response,
507,main,,NEGATIVE,,,,0.0-8.0-0.8,,9202,,10973,5000,We should stop thinking about whether people are male or female and focus on other characteristics.<br><br>,,129470,,25,html-slider-response,
507,main,,NEGATIVE,,,,0.0-8.0-0.9,,10000,,5755,5000,People can be both aggressive and nurturing regardless of sex.<br><br>,,135227,,26,html-slider-response,
507,main,,NEGATIVE,,,,0.0-8.0-0.10,,10000,,6378,5000,Tasks around the house should not be assigned by sex.<br><br>,,141606,,27,html-slider-response,
507,main,,POSITIVE,,,,0.0-8.0-0.11,,0,,12268,5000,Men are more sexual than women.<br><br>,,153875,,28,html-slider-response,
507,main,,POSITIVE,,,,0.0-8.0-0.12,,1285,,6629,5000,Girls should be protected and watched over more than boys.<br><br>,,160506,,29,html-slider-response,
507,main,,,,,,0.0-9.0,,0,,5177,,"<p><font size='3'>You have completed the questionnaire. There will now be an optional survey. Please answer the following questions if you feel comfortable doing so. If you do not wish to answer a question, please leave it blank. <br><br>When you're ready to procede, click ‘Continue’.</font></p>",,165684,,30,html-button-response,
507,main,,,,,,0.0-10.0,[0],{'Q0': 0},,4553,,,,170239,,31,survey-likert,
507,main,[],,,,,0.0-11.0,,"{'age': '35', 'enjoy': 'Better than the average experiment', 'gender': 'Female', 'region': 'Southwest - AZ, NM, OK, TX', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'none, but thank you and good luck with your research', 'language': 'english', 'education': 'Graduated college', 'question1': None}",,45886,,,,216219,,32,survey,
507,main,,,,,,0.0-12.0,,0,,4766,,Thank you for your time! Please click 'Finish' and then wait a moment until you're directed back to Prolific.<br><br>,,220986,,33,html-button-response,
492,main,,,[],[],[],0.0-0.0,,,,,,,True,897,False,0,preload,
492,main,,,,,,0.0-1.0,,0,,15224,,"<p><font size='3'>DESCRIPTION: You are invited to participate in a research study. Its general purpose is to understand how people perceive speech. We are interested in how people make use of varying properties of language to infer social information about a speaker. In this study, you will hear spoken sentences, and you will be asked to make simple decisions about the sentences you hear. Following this, you will be asked to complete a short questionnaire, where you will indicate on a sliding scale how much you agree or disagree with a series of statements. You will also be asked to complete an optional demographic survey. <br><br>TIME INVOLVEMENT: Your participation will take approximately 3 to 10 minutes. <br><br>RISKS AND BENEFITS: The foreseeable risks associated with this study are minimal. This judgment is based on a large body of experience with the same or similar procedures with people of similar ages, sex, origins, etc. Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. There are no known benefits to you for participating in this study, and we cannot and do not guarantee or promise that you will receive any benefits from this study. You will help us to understand how people perceive spoken language. <br><br>PAYMENT: You will be paid at the posted rate. <br><br>PARTICIPANT RIGHTS: If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative is not to participate. You have the right to refuse to answer particular questions. The results of this research study may be presented at scientific or professional meetings or published in scientific journals. Your individual privacy will be maintained in all published and written data resulting from the study. In accordance with scientific norms, the data from this study may be used or shared with other researchers for future research (after removing personally identifying information) without additional consent from you. <br><br>CONTACT INFORMATION: If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director Grace Brown at (616) 498-8188. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306 USA. <br><br>WAIVER OF DOCUMENTATION: If you agree to participate in this research, please click the 'Continue' button. </font></p>",,16125,,1,html-button-response,
492,main,,,,,,0.0-2.0,,,,,,"<p><font size='3'>This study requires you to listen to audio clips. To ensure you can adequately hear the audio presented in this study, the next page will have an audio attention check. Please wear headphones, and be prepared to adjust the volume on your device if necessary. <br><br> When you are ready to begin the audio attention check, click 'Start'. </font></p>",,26132,,2,html-button-response,
492,main,,,,,,0.0-3.0,,2,incorrect,6656,,audio/gift.wav,,32842,,3,audio-button-response,
492,main,,,,,,0.0-4.0,,0,,1639,,<p>Correct! You are ready to begin the study.</p>,,34484,,4,html-button-response,
492,main,,,,,,0.0-5.0,,0,,79108,,"<p><font size='3'>In this study, you will listen to a series of sentences. Each sentence is produced by a different speaker. While listening to each sentence, you will be prompted to rate the social characteristics of its speaker. To rate the social characteristics of a speaker, click along the scale that appears on your screen. You can click along this scale after the speaker stops talking. Try to respond as quickly as you can. The study will advance automatically if you do not respond within ten seconds. <br><br>Make sure you are wearing headphones. When you're ready to hear the first speaker, click ‘Start’. </font></p>",,113594,,5,html-button-response,
492,main,,246,,,,0.0-6.0-0.0,,1346,,5536,5000,audio/246_B2_CN7.wav,,119182,,6,audio-slider-response,
492,main,,,,,,0.0-6.0-1.0,,,,,,,,120188,,7,html-keyboard-response,
492,main,,723,,,,0.0-6.0-0.1,,5278,,5685,5000,audio/723_B1_CN7.wav,,125874,,8,audio-slider-response,
492,main,,,,,,0.0-6.0-1.1,,,,,,,,126876,,9,html-keyboard-response,
492,main,,340,,,,0.0-6.0-0.2,,2973,,4469,5000,audio/340_B1_CN7.wav,,131344,,10,audio-slider-response,
492,main,,,,,,0.0-6.0-1.2,,,,,,,,132346,,11,html-keyboard-response,
492,main,,625,,,,0.0-6.0-0.3,,4735,,4949,5000,audio/625_B2_CN7.wav,,137299,,12,audio-slider-response,
492,main,,,,,,0.0-6.0-1.3,,,,,,,,138301,,13,html-keyboard-response,
492,main,,193,,,,0.0-6.0-0.4,,5366,,6133,5000,audio/193_B1_CN7.wav,,144435,,14,audio-slider-response,
492,main,,,,,,0.0-6.0-1.4,,,,,,,,145437,,15,html-keyboard-response,
492,main,,,,,,0.0-7.0,,0,,6092,,"<p><font size='3'>You have completed the listening trials. You will now complete a short questionnaire. During the questionnaire, you will see a series of statements alongside a scale. Click along the scale to indicate how much you agree or disagree with the statement. Upon completion of the questionnaire, you will be asked to fill out an optional demographic survey. <br><br>When you're ready to begin the questionnaire, click ‘Continue’.</font></p>",,151532,,16,html-button-response,
492,main,,POSITIVE,,,,0.0-8.0-0.0,,5230,,8118,5000,Mothers should make most decisions about how children are brought up.<br><br>,,159654,,17,html-slider-response,
492,main,,POSITIVE,,,,0.0-8.0-0.1,,4458,,6009,5000,Men are more sexual than women.<br><br>,,165667,,18,html-slider-response,
492,main,,NEGATIVE,,,,0.0-8.0-0.2,,8273,,6003,5000,People should be treated the same regardless of their sex.<br><br>,,171674,,19,html-slider-response,
492,main,,POSITIVE,,,,0.0-8.0-0.3,,3966,,5704,5000,Mothers should work only if necessary.<br><br>,,177381,,20,html-slider-response,
492,main,,NEGATIVE,,,,0.0-8.0-0.4,,7624,,11946,5000,The freedom that children are given should be determined by their age and maturity level and not by their sex.<br><br>,,189330,,21,html-slider-response,
492,main,,POSITIVE,,,,0.0-8.0-0.5,,6142,,4647,5000,Some types of work are just not appropriate for women.<br><br>,,193981,,22,html-slider-response,
492,main,,POSITIVE,,,,0.0-8.0-0.6,,6327,,7969,5000,A father’s major responsibility is to provide financially for his children.<br><br>,,201953,,23,html-slider-response,
492,main,,POSITIVE,,,,0.0-8.0-0.7,,5662,,7501,5000,Girls should be protected and watched over more than boys.<br><br>,,209458,,24,html-slider-response,
492,main,,NEGATIVE,,,,0.0-8.0-0.8,,4095,,5623,5000,We should stop thinking about whether people are male or female and focus on other characteristics.<br><br>,,215084,,25,html-slider-response,
492,main,,POSITIVE,,,,0.0-8.0-0.9,,3325,,8148,5000,Only some types of work are appropriate for both men and women.<br><br>,,223236,,26,html-slider-response,
492,main,,NEGATIVE,,,,0.0-8.0-0.10,,10000,,3765,5000,Tasks around the house should not be assigned by sex.<br><br>,,227005,,27,html-slider-response,
492,main,,POSITIVE,,,,0.0-8.0-0.11,,929,,8293,5000,"For many important jobs, it is better to choose men instead of women.<br><br>",,235302,,28,html-slider-response,
492,main,,NEGATIVE,,,,0.0-8.0-0.12,,6536,,9361,5000,People can be both aggressive and nurturing regardless of sex.<br><br>,,244666,,29,html-slider-response,
492,main,,,,,,0.0-9.0,,0,,5167,,"<p><font size='3'>You have completed the questionnaire. There will now be an optional survey. Please answer the following questions if you feel comfortable doing so. If you do not wish to answer a question, please leave it blank. <br><br>When you're ready to procede, click ‘Continue’.</font></p>",,249836,,30,html-button-response,
492,main,,,,,,0.0-10.0,[0],{'Q0': 2},,3081,,,,252926,,31,survey-likert,
492,main,[],,,,,0.0-11.0,,"{'age': '32', 'enjoy': 'An average experiment', 'gender': 'Female', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Hold a higher degree', 'question1': None}",,35463,,,,288701,,32,survey,
492,main,,,,,,0.0-12.0,,0,,1538,,Thank you for your time! Please click 'Finish' and then wait a moment until you're directed back to Prolific.<br><br>,,290244,,33,html-button-response,
526,main,,,[],[],[],0.0-0.0,,,,,,,True,2140,False,0,preload,
526,main,,,,,,0.0-1.0,,0,,35379,,"<p><font size='3'>DESCRIPTION: You are invited to participate in a research study. Its general purpose is to understand how people perceive speech. We are interested in how people make use of varying properties of language to infer social information about a speaker. In this study, you will hear spoken sentences, and you will be asked to make simple decisions about the sentences you hear. Following this, you will be asked to complete a short questionnaire, where you will indicate on a sliding scale how much you agree or disagree with a series of statements. You will also be asked to complete an optional demographic survey. <br><br>TIME INVOLVEMENT: Your participation will take approximately 3 to 10 minutes. <br><br>RISKS AND BENEFITS: The foreseeable risks associated with this study are minimal. This judgment is based on a large body of experience with the same or similar procedures with people of similar ages, sex, origins, etc. Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. There are no known benefits to you for participating in this study, and we cannot and do not guarantee or promise that you will receive any benefits from this study. You will help us to understand how people perceive spoken language. <br><br>PAYMENT: You will be paid at the posted rate. <br><br>PARTICIPANT RIGHTS: If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative is not to participate. You have the right to refuse to answer particular questions. The results of this research study may be presented at scientific or professional meetings or published in scientific journals. Your individual privacy will be maintained in all published and written data resulting from the study. In accordance with scientific norms, the data from this study may be used or shared with other researchers for future research (after removing personally identifying information) without additional consent from you. <br><br>CONTACT INFORMATION: If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director Grace Brown at (616) 498-8188. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306 USA. <br><br>WAIVER OF DOCUMENTATION: If you agree to participate in this research, please click the 'Continue' button. </font></p>",,37565,,1,html-button-response,
526,main,,,,,,0.0-2.0,,,,,,"<p><font size='3'>This study requires you to listen to audio clips. To ensure you can adequately hear the audio presented in this study, the next page will have an audio attention check. Please wear headphones, and be prepared to adjust the volume on your device if necessary. <br><br> When you are ready to begin the audio attention check, click 'Start'. </font></p>",,48036,,2,html-button-response,
526,main,,,,,,0.0-3.0,,2,incorrect,5163,,audio/gift.wav,,54361,,3,audio-button-response,
526,main,,,,,,0.0-4.0,,0,,20643,,<p>Correct! You are ready to begin the study.</p>,,75006,,4,html-button-response,
526,main,,,,,,0.0-5.0,,0,,5662,,"<p><font size='3'>In this study, you will listen to a series of sentences. Each sentence is produced by a different speaker. While listening to each sentence, you will be prompted to rate the social characteristics of its speaker. To rate the social characteristics of a speaker, click along the scale that appears on your screen. You can click along this scale after the speaker stops talking. Try to respond as quickly as you can. The study will advance automatically if you do not respond within ten seconds. <br><br>Make sure you are wearing headphones. When you're ready to hear the first speaker, click ‘Start’. </font></p>",,80671,,5,html-button-response,
526,main,,723,,,,0.0-6.0-0.0,,,,,5000,audio/723_B1_CN7.wav,,90838,,6,audio-slider-response,
526,main,,,,,,0.0-6.0-1.0,,,,,,,,91847,,7,html-keyboard-response,
526,main,,246,,,,0.0-6.0-0.1,,2350,,6749,5000,audio/246_B2_CN7.wav,,98594,,8,audio-slider-response,
526,main,,,,,,0.0-6.0-1.1,,,,,,,,99596,,9,html-keyboard-response,
526,main,,340,,,,0.0-6.0-0.2,,8209,,8221,5000,audio/340_B1_CN7.wav,,107815,,10,audio-slider-response,
526,main,,,,,,0.0-6.0-1.2,,,,,,,,108826,,11,html-keyboard-response,
526,main,,625,,,,0.0-6.0-0.3,,8706,,7389,5000,audio/625_B2_CN7.wav,,116216,,12,audio-slider-response,
526,main,,,,,,0.0-6.0-1.3,,,,,,,,117226,,13,html-keyboard-response,
526,main,,193,,,,0.0-6.0-0.4,,8085,,6429,5000,audio/193_B1_CN7.wav,,123650,,14,audio-slider-response,
526,main,,,,,,0.0-6.0-1.4,,,,,,,,124656,,15,html-keyboard-response,
526,main,,,,,,0.0-7.0,,0,,7104,,"<p><font size='3'>You have completed the listening trials. You will now complete a short questionnaire. During the questionnaire, you will see a series of statements alongside a scale. Click along the scale to indicate how much you agree or disagree with the statement. Upon completion of the questionnaire, you will be asked to fill out an optional demographic survey. <br><br>When you're ready to begin the questionnaire, click ‘Continue’.</font></p>",,131760,,16,html-button-response,
526,main,,POSITIVE,,,,0.0-8.0-0.0,,7195,,8415,5000,Girls should be protected and watched over more than boys.<br><br>,,140194,,17,html-slider-response,
526,main,,NEGATIVE,,,,0.0-8.0-0.1,,7630,,9111,5000,We should stop thinking about whether people are male or female and focus on other characteristics.<br><br>,,149306,,18,html-slider-response,
526,main,,NEGATIVE,,,,0.0-8.0-0.2,,1998,,11181,5000,Tasks around the house should not be assigned by sex.<br><br>,,160489,,19,html-slider-response,
526,main,,NEGATIVE,,,,0.0-8.0-0.3,,9472,,7977,5000,The freedom that children are given should be determined by their age and maturity level and not by their sex.<br><br>,,168469,,20,html-slider-response,
526,main,,NEGATIVE,,,,0.0-8.0-0.4,,8810,,7785,5000,People can be both aggressive and nurturing regardless of sex.<br><br>,,176256,,21,html-slider-response,
526,main,,POSITIVE,,,,0.0-8.0-0.5,,8271,,6921,5000,Men are more sexual than women.<br><br>,,183178,,22,html-slider-response,
526,main,,NEGATIVE,,,,0.0-8.0-0.6,,8251,,8645,5000,People should be treated the same regardless of their sex.<br><br>,,191824,,23,html-slider-response,
526,main,,POSITIVE,,,,0.0-8.0-0.7,,1853,,6905,5000,Mothers should make most decisions about how children are brought up.<br><br>,,198730,,24,html-slider-response,
526,main,,POSITIVE,,,,0.0-8.0-0.8,,8499,,6744,5000,Some types of work are just not appropriate for women.<br><br>,,205476,,25,html-slider-response,
526,main,,POSITIVE,,,,0.0-8.0-0.9,,10000,,5378,5000,A father’s major responsibility is to provide financially for his children.<br><br>,,210857,,26,html-slider-response,
526,main,,POSITIVE,,,,0.0-8.0-0.10,,963,,5210,5000,Mothers should work only if necessary.<br><br>,,216069,,27,html-slider-response,
526,main,,POSITIVE,,,,0.0-8.0-0.11,,549,,7280,5000,"For many important jobs, it is better to choose men instead of women.<br><br>",,223350,,28,html-slider-response,
526,main,,POSITIVE,,,,0.0-8.0-0.12,,9721,,8115,5000,Only some types of work are appropriate for both men and women.<br><br>,,231467,,29,html-slider-response,
526,main,,,,,,0.0-9.0,,0,,3893,,"<p><font size='3'>You have completed the questionnaire. There will now be an optional survey. Please answer the following questions if you feel comfortable doing so. If you do not wish to answer a question, please leave it blank. <br><br>When you're ready to procede, click ‘Continue’.</font></p>",,235361,,30,html-button-response,
526,main,,,,,,0.0-10.0,[0],{'Q0': 4},,7517,,,,242879,,31,survey-likert,
526,main,[],,,,,0.0-11.0,,"{'age': '21', 'enjoy': 'Better than the average experiment', 'gender': 'Female', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'no', 'language': 'English', 'education': 'Hold a higher degree', 'question1': None}",,86204,,,,329344,,32,survey,
526,main,,,,,,0.0-12.0,,0,,106512,,Thank you for your time! Please click 'Finish' and then wait a moment until you're directed back to Prolific.<br><br>,,435858,,33,html-button-response,
551,main,,,[],[],[],0.0-0.0,,,,,,,True,2263,False,0,preload,
551,main,,,,,,0.0-1.0,,0,,5548,,"<p><font size='3'>DESCRIPTION: You are invited to participate in a research study. Its general purpose is to understand how people perceive speech. We are interested in how people make use of varying properties of language to infer social information about a speaker. In this study, you will hear spoken sentences, and you will be asked to make simple decisions about the sentences you hear. Following this, you will be asked to complete a short questionnaire, where you will indicate on a sliding scale how much you agree or disagree with a series of statements. You will also be asked to complete an optional demographic survey. <br><br>TIME INVOLVEMENT: Your participation will take approximately 3 to 10 minutes. <br><br>RISKS AND BENEFITS: The foreseeable risks associated with this study are minimal. This judgment is based on a large body of experience with the same or similar procedures with people of similar ages, sex, origins, etc. Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. There are no known benefits to you for participating in this study, and we cannot and do not guarantee or promise that you will receive any benefits from this study. You will help us to understand how people perceive spoken language. <br><br>PAYMENT: You will be paid at the posted rate. <br><br>PARTICIPANT RIGHTS: If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative is not to participate. You have the right to refuse to answer particular questions. The results of this research study may be presented at scientific or professional meetings or published in scientific journals. Your individual privacy will be maintained in all published and written data resulting from the study. In accordance with scientific norms, the data from this study may be used or shared with other researchers for future research (after removing personally identifying information) without additional consent from you. <br><br>CONTACT INFORMATION: If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director Grace Brown at (616) 498-8188. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306 USA. <br><br>WAIVER OF DOCUMENTATION: If you agree to participate in this research, please click the 'Continue' button. </font></p>",,7812,,1,html-button-response,
551,main,,,,,,0.0-2.0,,,,,,"<p><font size='3'>This study requires you to listen to audio clips. To ensure you can adequately hear the audio presented in this study, the next page will have an audio attention check. Please wear headphones, and be prepared to adjust the volume on your device if necessary. <br><br> When you are ready to begin the audio attention check, click 'Start'. </font></p>",,17818,,2,html-button-response,
551,main,,,,,,0.0-3.0,,2,incorrect,2661,,audio/gift.wav,,21145,,3,audio-button-response,
551,main,,,,,,0.0-4.0,,0,,1354,,<p>Correct! You are ready to begin the study.</p>,,22500,,4,html-button-response,
551,main,,,,,,0.0-5.0,,0,,5890,,"<p><font size='3'>In this study, you will listen to a series of sentences. Each sentence is produced by a different speaker. While listening to each sentence, you will be prompted to rate the social characteristics of its speaker. To rate the social characteristics of a speaker, click along the scale that appears on your screen. You can click along this scale after the speaker stops talking. Try to respond as quickly as you can. The study will advance automatically if you do not respond within ten seconds. <br><br>Make sure you are wearing headphones. When you're ready to hear the first speaker, click ‘Start’. </font></p>",,28391,,5,html-button-response,
551,main,,246,,,,0.0-6.0-0.0,,2174,,7000,5000,audio/246_B2_CN7.wav,,35391,,6,audio-slider-response,
551,main,,,,,,0.0-6.0-1.0,,,,,,,,36394,,7,html-keyboard-response,
551,main,,723,,,,0.0-6.0-0.1,,9052,,4181,5000,audio/723_B1_CN7.wav,,40571,,8,audio-slider-response,
551,main,,,,,,0.0-6.0-1.1,,,,,,,,41585,,9,html-keyboard-response,
551,main,,193,,,,0.0-6.0-0.2,,4394,,6640,5000,audio/193_B1_CN7.wav,,48227,,10,audio-slider-response,
551,main,,,,,,0.0-6.0-1.2,,,,,,,,49243,,11,html-keyboard-response,
551,main,,625,,,,0.0-6.0-0.3,,5441,,5691,5000,audio/625_B2_CN7.wav,,54932,,12,audio-slider-response,
551,main,,,,,,0.0-6.0-1.3,,,,,,,,55934,,13,html-keyboard-response,
551,main,,340,,,,0.0-6.0-0.4,,6502,,4989,5000,audio/340_B1_CN7.wav,,60922,,14,audio-slider-response,
551,main,,,,,,0.0-6.0-1.4,,,,,,,,61934,,15,html-keyboard-response,
551,main,,,,,,0.0-7.0,,0,,7308,,"<p><font size='3'>You have completed the listening trials. You will now complete a short questionnaire. During the questionnaire, you will see a series of statements alongside a scale. Click along the scale to indicate how much you agree or disagree with the statement. Upon completion of the questionnaire, you will be asked to fill out an optional demographic survey. <br><br>When you're ready to begin the questionnaire, click ‘Continue’.</font></p>",,69244,,16,html-button-response,
551,main,,NEGATIVE,,,,0.0-8.0-0.0,,8046,,6542,5000,People can be both aggressive and nurturing regardless of sex.<br><br>,,75788,,17,html-slider-response,
551,main,,POSITIVE,,,,0.0-8.0-0.1,,5193,,7399,5000,Men are more sexual than women.<br><br>,,83189,,18,html-slider-response,
551,main,,POSITIVE,,,,0.0-8.0-0.2,,6626,,4688,5000,Mothers should work only if necessary.<br><br>,,87879,,19,html-slider-response,
551,main,,POSITIVE,,,,0.0-8.0-0.3,,5524,,6982,5000,"For many important jobs, it is better to choose men instead of women.<br><br>",,94862,,20,html-slider-response,
551,main,,NEGATIVE,,,,0.0-8.0-0.4,,6943,,4410,5000,Tasks around the house should not be assigned by sex.<br><br>,,99274,,21,html-slider-response,
551,main,,NEGATIVE,,,,0.0-8.0-0.5,,,,,5000,The freedom that children are given should be determined by their age and maturity level and not by their sex.<br><br>,,119276,,22,html-slider-response,
