participant_id,condition,accuracy,button_response,clicks,coding,correct,expected,internal_node_id,keyboard_response,question_order,response,response_source,rt,stimulus,time_elapsed,trial_index,trial_type,triplet_id,error
36,masc lex 2,,,"[{'time': 4239.60000000149, 'location': 0.5092843992258708}]",,,neutral,0.0-16.0,,,0.509284399,,5290,"['<p style=""font-weight:bold;"">I can\'t stop laughing -- that was really funny.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",120550,16,html-vas-response,10,
36,masc lex 2,,,"[{'time': 4619, 'location': 0.3532827615133655}]",,,non_masc,0.0-17.0,,,0.353282762,,5533,"['<p style=""font-weight:bold;"">Chase was so tired on Monday.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",126093,17,html-vas-response,6,
36,masc lex 2,correct,2,,,2,,0.0-18.0,,,,button,1986,Who was tired?<br><br>,128083,18,html-multi-response,,
36,masc lex 2,,,"[{'time': 6019.89999999851, 'location': 0.4472837483401315}]",,,neutral,0.0-19.0,,,0.447283748,,7164,"['<p style=""font-weight:bold;"">Some people think that show was very entertaining.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",135256,19,html-vas-response,15,
36,masc lex 2,,,"[{'time': 4902.20000000298, 'location': 0.24928166970502863}]",,,non_masc,0.0-20.0,,,0.24928167,,5932,"['<p style=""font-weight:bold;"">Without a map, we are totally lost.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",141196,20,html-vas-response,5,
36,masc lex 2,correct,1,,,1,,0.0-21.0,,,,button,3064,True or False: The speaker believes they will be lost without a GPS.<br><br>,144266,21,html-multi-response,,
36,masc lex 2,,,"[{'time': 6292.199999999255, 'location': 0.46528393730695905}]",,,neutral,0.0-22.0,,,0.465283937,,7770,"['<p style=""font-weight:bold;"">My office is fairly boring.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",152045,22,html-vas-response,16,
36,masc lex 2,,,"[{'time': 4883.599999997765, 'location': 0.3852830974543922}]",,,non_masc,0.0-23.0,,,0.385283097,,5891,"['<p style=""font-weight:bold;"">Can I take a peek at your answer? </p><br><br>How masculine is the speaker of this sentence?<br><br>']",157945,23,html-vas-response,1,
36,masc lex 2,correct,1,,,1,,0.0-24.0,,,,button,3411,What did the speaker ask to see?<br><br>,161362,24,html-multi-response,,
36,masc lex 2,,,"[{'time': 5118, 'location': 0.6772861629162611}]",,,masc,0.0-25.0,,,0.677286163,,6481,"['<p style=""font-weight:bold;"">That\'s a goofy thing to say.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",167851,25,html-vas-response,20,
36,masc lex 2,,,"[{'time': 4991.5, 'location': 0.32928250955759547}]",,,neutral,0.0-26.0,,,0.32928251,,6000,"['<p style=""font-weight:bold;"">My sister really wanted to let you know that she will be late. </p><br><br>How masculine is the speaker of this sentence?<br><br>']",173859,26,html-vas-response,12,
36,masc lex 2,,,"[{'time': 3981.10000000149, 'location': 0.03927946509204076}]",,,non_masc,0.0-27.0,,,0.039279465,,5314,"['<p style=""font-weight:bold;"">At the beach, I took the loveliest picture of the sunset.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",179182,27,html-vas-response,7,
36,masc lex 2,correct,0,,,0,,0.0-28.0,,,,button,2214,What did the speaker photograph?<br><br>,181400,28,html-multi-response,,
36,masc lex 2,,,"[{'time': 5278.60000000149, 'location': 0.2872820686349979}]",,,masc,0.0-29.0,,,0.287282069,,6343,"['<p style=""font-weight:bold;"">I\'m surprised how delicious that taco was.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",187751,29,html-vas-response,17,
36,masc lex 2,,,"[{'time': 2937.10000000149, 'location': 0.011279171143642377}]",,,non_masc,0.0-30.0,,,0.011279171,,4328,"['<p style=""font-weight:bold;"">I bought a periwinkle shirt last Friday.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",192088,30,html-vas-response,8,
36,masc lex 2,correct,1,,,1,,0.0-31.0,,,,button,1544,What color shirt did the speaker purchase?<br><br>,193637,31,html-multi-response,,
36,masc lex 2,,,"[{'time': 4762.60000000149, 'location': 0.4712840002959016}]",,,masc,0.0-32.0,,,0.471284,,5665,"['<p style=""font-weight:bold;"">I feel sorry for the dumb thing.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",199311,32,html-vas-response,22,
36,masc lex 2,,,"[{'time': 4224.60000000149, 'location': 0.7952874016987971}]",,,masc,0.0-33.0,,,0.795287402,,5382,"['<p style=""font-weight:bold;"">I think that article was, um, well-researched.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",204701,33,html-vas-response,24,
36,masc lex 2,,,,,,,0.0-34.0,,,0,,15330,"<p><font size='3'>You have completed the experimental trials. You will now complete a short questionnaire. During the questionnaire, you will see a series of statements alongside a scale. Click along the scale to indicate how much you agree or disagree with the statement. Upon completion of the questionnaire, you will be asked to fill out an optional demographic survey. <br><br>When you're ready to begin the questionnaire, click ‘Continue’.</font></p>",220036,34,html-button-response,,
36,masc lex 2,,,"[{'time': 6184.39999999851, 'location': 0.11928030494460758}, {'time': 7999, 'location': 0.019279255128899057}]",POSITIVE,,,0.0-35.0-0.0,,,0.019279255,,9081,Some types of work are just not appropriate for women.<br><br>,229129,35,html-vas-response,,
36,masc lex 2,,,"[{'time': 6656.699999999255, 'location': 0.9912894593375858}]",NEGATIVE,,,0.0-35.0-0.1,,,0.991289459,,7903,The freedom that children are given should be determined by their age and maturity level and not by their sex.<br><br>,237046,36,html-vas-response,,
36,masc lex 2,,,"[{'time': 5846.900000002235, 'location': 0.1852809978229752}]",POSITIVE,,,0.0-35.0-0.2,,,0.185280998,,6854,A father’s major responsibility is to provide financially for his children.<br><br>,243909,37,html-vas-response,,
36,masc lex 2,,,"[{'time': 2795.70000000298, 'location': 0.05527963306255412}]",POSITIVE,,,0.0-35.0-0.3,,,0.055279633,,3912,Men are more sexual than women.<br><br>,247830,38,html-vas-response,,
36,masc lex 2,,,"[{'time': 5174.5, 'location': 0.9932894803339}]",NEGATIVE,,,0.0-35.0-0.4,,,0.99328948,,6311,People can be both aggressive and nurturing regardless of sex.<br><br>,254150,39,html-vas-response,,
36,masc lex 2,,,"[{'time': 6643.5, 'location': 0.9912894593375858}]",NEGATIVE,,,0.0-35.0-0.5,,,0.991289459,,7926,Tasks around the house should not be assigned by sex.<br><br>,262085,40,html-vas-response,,
36,masc lex 2,,,"[{'time': 4655.39999999851, 'location': 0.04127948608835493}]",POSITIVE,,,0.0-35.0-0.6,,,0.041279486,,5635,Mothers should make most decisions about how children are brought up.<br><br>,267729,41,html-vas-response,,
36,masc lex 2,,,"[{'time': 5813.29999999702, 'location': 0.02927936011046991}]",POSITIVE,,,0.0-35.0-0.7,,,0.02927936,,6972,Only some types of work are appropriate for both men and women.<br><br>,274709,42,html-vas-response,,
36,masc lex 2,,,"[{'time': 7576, 'location': 0.2232813967529444}]",POSITIVE,,,0.0-35.0-0.8,,,0.223281397,,8424,Girls should be protected and watched over more than boys.<br><br>,283139,43,html-vas-response,,
36,masc lex 2,,,"[{'time': 2934.699999999255, 'location': 0.9972895223265285}]",NEGATIVE,,,0.0-35.0-0.9,,,0.997289522,,4261,People should be treated the same regardless of their sex.<br><br>,287408,44,html-vas-response,,
36,masc lex 2,,,"[{'time': 6522.800000000745, 'location': 0.9592891233965593}]",NEGATIVE,,,0.0-35.0-0.10,,,0.959289123,,7601,We should stop thinking about whether people are male or female and focus on other characteristics.<br><br>,295018,45,html-vas-response,,
36,masc lex 2,,,"[{'time': 4773.39999999851, 'location': 0.011279171143642377}]",POSITIVE,,,0.0-35.0-0.11,,,0.011279171,,5904,"For many important jobs, it is better to choose men instead of women.<br><br>",300931,46,html-vas-response,,
36,masc lex 2,,,"[{'time': 5364.099999997765, 'location': 0.1652807878598335}, {'time': 5631.89999999851, 'location': 0.1652807878598335}, {'time': 6449.699999999255, 'location': 0.06527973804412497}]",POSITIVE,,,0.0-35.0-0.12,,,0.065279738,,8731,Mothers should work only if necessary.<br><br>,309669,47,html-vas-response,,
36,masc lex 2,,,,,,,0.0-36.0,,,0,,4382,"<p><font size='3'>You have completed the questionnaire. There will now be an optional survey. Please answer the following questions if you feel comfortable doing so. <br><br>When you're ready to procede, click ‘Continue’.</font></p>",314057,48,html-button-response,,
36,masc lex 2,,,,,,,0.0-37.0,,[0],{'Q0': 1},,5615,,319679,49,survey-likert,,
36,masc lex 2,[],,,,,,0.0-38.0,,,"{'age': '63', 'P0_Q0': None, 'enjoy': 'An average experiment', 'gender': 'Male', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Some college'}",,43133,,363066,50,survey,,
36,masc lex 2,,,,,,,0.0-39.0,,,0,,2528,Thank you for your time! Please click 'Finish' and then wait a moment until you're directed back to Prolific.<br><br>,365599,51,html-button-response,,
27,masc lex 2,,,,,,,0.0-0.0,,,0,,6554,"<p><font size=""3"">DESCRIPTION: You are invited to participate in a research study. Its general purpose is to understand how people perceive written stimuli. You will be asked to read a series of sentences and provide judgments about the social characteristics of the speakers of these sentences. <br><br>RISKS AND BENEFITS: There are no known risks, costs, or discomforts in this study and this judgment is based on a large body of experiments with the same or similar procedures with people of similar ages, sex, origins, etc.  We cannot and do not guarantee or promise that you will receive any benefits from this study. You will help us to understand how people perceive written stimuli.<br><br>PAYMENTS: You will be paid at the posted rate. <br><br>SUBJECT RIGHTS: If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to answer particular questions. Your individual privacy will be maintained in all published and written data resulting from the study. <br><br> CONTACT INFORMATION: If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director Meghan Sumner at (650)-725-9336. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650)-723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306 USA.<br><br>WAIVER OF DOCUMENTATION: If you agree to participate in this research, please continue on to the next page.</font></p>",6571,0,html-button-response,,
27,masc lex 2,,,,,,,0.0-1.0,,,0,,10807,"<p><font size='3'>In this experiment, you will read a series of sentences. Each sentence has been produced by a different speaker. After reading each sentence, you will be asked to rate the social characteristics of its speaker. To rate the social characteristics of a speaker, click along the scale. After providing your rating, you can proceed to the next trial by clicking 'Continue'. Some trials will have comprehension questions. To complete these, click on the button with the correct answer. <br><br>When you're ready to begin, click ‘Start’.</font></p>",17379,1,html-button-response,,
27,masc lex 2,,,"[{'time': 6197, 'location': 0.474}]",,,neutral,0.0-2.0,,,0.474,,9220,"['<p style=""font-weight:bold;"">I can\'t stop laughing -- that was really funny.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",26603,2,html-vas-response,10,
27,masc lex 2,,,"[{'time': 5210, 'location': 0.498}]",,,masc,0.0-3.0,,,0.498,,6239,"['<p style=""font-weight:bold;"">I hear what you\'re saying, bro.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",32844,3,html-vas-response,23,
27,masc lex 2,,,"[{'time': 3413, 'location': 0.514}]",,,non_masc,0.0-4.0,,,0.514,,4580,"['<p style=""font-weight:bold;"">Chase was so tired on Monday.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",37428,4,html-vas-response,6,
27,masc lex 2,correct,2,,,2,,0.0-5.0,,,,button,2791,Who was tired?<br><br>,40221,5,html-multi-response,,
27,masc lex 2,,,"[{'time': 5651, 'location': 0.5}]",,,masc,0.0-6.0,,,0.5,,6740,"['<p style=""font-weight:bold;"">I\'m surprised how delicious that taco was.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",46963,6,html-vas-response,17,
27,masc lex 2,,,"[{'time': 5663.999999999993, 'location': 0.442}]",,,non_masc,0.0-7.0,,,0.442,,6691,"['<p style=""font-weight:bold;"">Girl, you won\'t believe who I bumped into this week.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",53658,7,html-vas-response,2,
27,masc lex 2,incorrect,0,,,1,,0.0-8.0,,,,button,3905,True or False: The speaker expressed that they bumped into someone two weeks ago.<br><br>,57564,8,html-multi-response,,
27,masc lex 2,,,"[{'time': 6033, 'location': 0.512}]",,,non_masc,0.0-9.0,,,0.512,,7189,"['<p style=""font-weight:bold;"">Without a map, we are totally lost.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",64755,9,html-vas-response,5,
27,masc lex 2,correct,1,,,1,,0.0-10.0,,,,button,2338,True or False: The speaker believes they will be lost without a GPS.<br><br>,67095,10,html-multi-response,,
27,masc lex 2,,,"[{'time': 4579, 'location': 0.484}]",,,neutral,0.0-11.0,,,0.484,,5842,"['<p style=""font-weight:bold;"">I hear what you\'re saying, Sam.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",72938,11,html-vas-response,9,
27,masc lex 2,,,"[{'time': 3545.9999999999854, 'location': 0.512}]",,,neutral,0.0-12.0,,,0.512,,4412,"['<p style=""font-weight:bold;"">Some people think that show was very entertaining.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",77353,12,html-vas-response,15,
27,masc lex 2,,,"[{'time': 2548, 'location': 0.504}]",,,neutral,0.0-13.0,,,0.504,,3731,"['<p style=""font-weight:bold;"">My office is fairly boring.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",81086,13,html-vas-response,16,
27,masc lex 2,,,"[{'time': 1692, 'location': 0.516}]",,,masc,0.0-14.0,,,0.516,,2945,"['<p style=""font-weight:bold;"">My bad, I didn\'t see you there.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",84032,14,html-vas-response,21,
27,masc lex 2,,,"[{'time': 2064, 'location': 0.504}]",,,non_masc,0.0-15.0,,,0.504,,3070,"['<p style=""font-weight:bold;"">When is lunch? I\'m literally starving.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",87105,15,html-vas-response,3,
27,masc lex 2,correct,1,,,1,,0.0-16.0,,,,button,2006,What meal is the speaker asking about?<br><br>,89113,16,html-multi-response,,
27,masc lex 2,,,"[{'time': 3266, 'location': 0.498}]",,,non_masc,0.0-17.0,,,0.498,,4333,"['<p style=""font-weight:bold;"">I bought a periwinkle shirt last Friday.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",93449,17,html-vas-response,8,
27,masc lex 2,correct,1,,,1,,0.0-18.0,,,,button,1733,What color shirt did the speaker purchase?<br><br>,95183,18,html-multi-response,,
27,masc lex 2,,,"[{'time': 6635, 'location': 0.3}]",,,masc,0.0-19.0,,,0.3,,7689,"['<p style=""font-weight:bold;"">I think that article was, um, well-researched.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",102874,19,html-vas-response,24,
27,masc lex 2,,,"[{'time': 2343.0000000000146, 'location': 0.5}]",,,non_masc,0.0-20.0,,,0.5,,3696,"['<p style=""font-weight:bold;"">Can I take a peek at your answer? </p><br><br>How masculine is the speaker of this sentence?<br><br>']",106573,20,html-vas-response,1,
27,masc lex 2,correct,1,,,1,,0.0-21.0,,,,button,1968,What did the speaker ask to see?<br><br>,108542,21,html-multi-response,,
27,masc lex 2,,,"[{'time': 3049.0000000000146, 'location': 0.486}]",,,non_masc,0.0-22.0,,,0.486,,4265,"['<p style=""font-weight:bold;"">I see you got new lilac mugs.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",112808,22,html-vas-response,4,
27,masc lex 2,correct,0,,,0,,0.0-23.0,,,,button,1681,What type of dish is the speaker commenting on?<br><br>,114491,23,html-multi-response,,
27,masc lex 2,,,"[{'time': 3079.0000000000146, 'location': 0.508}]",,,neutral,0.0-24.0,,,0.508,,4028,"['<p style=""font-weight:bold;"">I\'m surprised how tasty that burger was.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",118521,24,html-vas-response,14,
27,masc lex 2,,,"[{'time': 2896, 'location': 0.522}]",,,masc,0.0-25.0,,,0.522,,3946,"['<p style=""font-weight:bold;"">I feel sorry for the dumb thing.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",122469,25,html-vas-response,22,
27,masc lex 2,,,"[{'time': 2021, 'location': 0.52}]",,,masc,0.0-26.0,,,0.52,,2778,"['<p style=""font-weight:bold;"">That\'s a goofy thing to say.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",125249,26,html-vas-response,20,
27,masc lex 2,,,"[{'time': 1423.0000000000146, 'location': 0.494}]",,,masc,0.0-27.0,,,0.494,,2408,"['<p style=""font-weight:bold;"">Your presentation sounded good.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",127660,27,html-vas-response,18,
27,masc lex 2,,,"[{'time': 3412.9999999999854, 'location': 0.522}]",,,non_masc,0.0-28.0,,,0.522,,4388,"['<p style=""font-weight:bold;"">At the beach, I took the loveliest picture of the sunset.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",132049,28,html-vas-response,7,
27,masc lex 2,correct,0,,,0,,0.0-29.0,,,,button,1725,What did the speaker photograph?<br><br>,133776,29,html-multi-response,,
27,masc lex 2,,,"[{'time': 4921, 'location': 0.50003125}]",,,neutral,0.0-30.0,,,0.50003125,,6494,"['<p style=""font-weight:bold;"">My sister really wanted to let you know that she will be late. </p><br><br>How masculine is the speaker of this sentence?<br><br>']",140272,30,html-vas-response,12,
27,masc lex 2,,,"[{'time': 3744.999999999971, 'location': 0.52}]",,,neutral,0.0-31.0,,,0.52,,4699,"['<p style=""font-weight:bold;"">My workout yesterday had me feeling exhausted.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",144974,31,html-vas-response,11,
27,masc lex 2,,,"[{'time': 2850, 'location': 0.506}]",,,masc,0.0-32.0,,,0.506,,3929,"['<p style=""font-weight:bold;"">The party last night was really sick.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",148906,32,html-vas-response,19,
27,masc lex 2,,,"[{'time': 2025, 'location': 0.51}]",,,neutral,0.0-33.0,,,0.51,,3326,"['<p style=""font-weight:bold;"">I bought a new shirt last Friday.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",152235,33,html-vas-response,13,
27,masc lex 2,,,,,,,0.0-34.0,,,0,,9376,"<p><font size='3'>You have completed the experimental trials. You will now complete a short questionnaire. During the questionnaire, you will see a series of statements alongside a scale. Click along the scale to indicate how much you agree or disagree with the statement. Upon completion of the questionnaire, you will be asked to fill out an optional demographic survey. <br><br>When you're ready to begin the questionnaire, click ‘Continue’.</font></p>",161613,34,html-button-response,,
27,masc lex 2,,,"[{'time': 4064, 'location': 0.002}]",POSITIVE,,,0.0-35.0-0.0,,,0.002,,7413,Some types of work are just not appropriate for women.<br><br>,169027,35,html-vas-response,,
27,masc lex 2,,,"[{'time': 3736, 'location': 0.00203125}]",POSITIVE,,,0.0-35.0-0.1,,,0.00203125,,4829,"For many important jobs, it is better to choose men instead of women.<br><br>",173859,36,html-vas-response,,
27,masc lex 2,,,"[{'time': 5771.000000000029, 'location': 0.48603125}]",POSITIVE,,,0.0-35.0-0.2,,,0.48603125,,6855,Mothers should make most decisions about how children are brought up.<br><br>,180717,37,html-vas-response,,
27,masc lex 2,,,"[{'time': 3335, 'location': 0.004}]",POSITIVE,,,0.0-35.0-0.3,,,0.004,,4455,Girls should be protected and watched over more than boys.<br><br>,185174,38,html-vas-response,,
27,masc lex 2,,,"[{'time': 6215, 'location': 0.99403125}]",NEGATIVE,,,0.0-35.0-0.4,,,0.99403125,,7682,People can be both aggressive and nurturing regardless of sex.<br><br>,192859,39,html-vas-response,,
27,masc lex 2,,,"[{'time': 5540.000000000029, 'location': 0.996}]",NEGATIVE,,,0.0-35.0-0.5,,,0.996,,6947,Tasks around the house should not be assigned by sex.<br><br>,199807,40,html-vas-response,,
27,masc lex 2,,,"[{'time': 4776.000000000029, 'location': 0.004}]",POSITIVE,,,0.0-35.0-0.6,,,0.004,,5952,Only some types of work are appropriate for both men and women.<br><br>,205761,41,html-vas-response,,
27,masc lex 2,,,"[{'time': 4134.999999999971, 'location': 0.998}]",NEGATIVE,,,0.0-35.0-0.7,,,0.998,,5238,People should be treated the same regardless of their sex.<br><br>,211002,42,html-vas-response,,
27,masc lex 2,,,"[{'time': 3861, 'location': 0.00803125}, {'time': 5392, 'location': 0.00403125}]",POSITIVE,,,0.0-35.0-0.8,,,0.00403125,,6829,A father’s major responsibility is to provide financially for his children.<br><br>,217834,43,html-vas-response,,
27,masc lex 2,,,"[{'time': 8361.99999999997, 'location': 0.49603125}]",NEGATIVE,,,0.0-35.0-0.9,,,0.49603125,,9659,We should stop thinking about whether people are male or female and focus on other characteristics.<br><br>,227495,44,html-vas-response,,
27,masc lex 2,,,"[{'time': 7569, 'location': 0.008}, {'time': 9009, 'location': 0.004}]",POSITIVE,,,0.0-35.0-0.10,,,0.004,,,Mothers should work only if necessary.<br><br>,237497,45,html-vas-response,,
27,masc lex 2,,,"[{'time': 9395.00000000003, 'location': 0.998}]",NEGATIVE,,,0.0-35.0-0.11,,,0.998,,,The freedom that children are given should be determined by their age and maturity level and not by their sex.<br><br>,247501,46,html-vas-response,,
27,masc lex 2,,,"[{'time': 5411, 'location': 0.994}, {'time': 7500, 'location': 0.498}]",POSITIVE,,,0.0-35.0-0.12,,,0.498,,8475,Men are more sexual than women.<br><br>,255978,47,html-vas-response,,
27,masc lex 2,,,,,,,0.0-36.0,,,0,,2189,"<p><font size='3'>You have completed the questionnaire. There will now be an optional survey. Please answer the following questions if you feel comfortable doing so. <br><br>When you're ready to procede, click ‘Continue’.</font></p>",258168,48,html-button-response,,
27,masc lex 2,,,,,,,0.0-37.0,,[0],{'Q0': 0},,3690,,261860,49,survey-likert,,
27,masc lex 2,[],,,,,,0.0-38.0,,,"{'age': '32', 'P0_Q0': None, 'enjoy': 'An average experiment', 'gender': 'Female', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Hold a higher degree'}",,28674,,290700,50,survey,,
27,masc lex 2,,,,,,,0.0-39.0,,,0,,2608,Thank you for your time! Please click 'Finish' and then wait a moment until you're directed back to Prolific.<br><br>,293309,51,html-button-response,,
